Image,x1,y1,x2,y2,x3,y3,x4,y4
Im327.tif,0.539,0.468,0.613,0.571,0.391,0.452,0.469,0.559
Im328.tif,,,,,,,,
Im331.tif,,,,,,,,
Im333.tif,0.53,0.475,0.609,0.573,0.318,0.451,0.395,0.546
Im336.tif,0.58,0.609,0.666,0.717,0.403,0.584,0.482,0.691
Im340.tif,0.552,0.607,0.63,0.715,0.372,0.577,0.447,0.677
Im360.tif,0.583,0.333,0.702,0.457,0.309,0.258,0.426,0.387
Im364.tif,,,,,,,,
Im370.tif,0.475,0.336,0.592,0.473,0.172,0.274,0.293,0.429
Im373.tif,0.473,0.525,0.569,0.638,0.327,0.504,0.426,0.616
Im381.tif,0.665,0.481,0.735,0.59,0.487,0.545,0.565,0.653
Im383.tif,0.55,0.453,0.649,0.579,0.38,0.464,0.485,0.584
Im384.tif,0.518,0.509,0.582,0.596,0.353,0.517,0.422,0.596
Im386.tif,0.524,0.291,0.622,0.409,0.358,0.252,0.451,0.372
Im387.tif,0.544,0.156,0.663,0.309,0.291,0.121,0.412,0.278
Im431.tif,0.567,0.163,0.63,0.26,0.406,0.161,0.47,0.264
Im447.tif,0.571,0.52,0.644,0.612,0.38,0.481,0.454,0.577
Im448.tif,0.589,0.564,0.659,0.657,0.397,0.512,0.471,0.61
Im453.tif,,,,,,,,
Im454.tif,0.561,0.615,0.645,0.719,0.364,0.612,0.443,0.716
Im459.tif,0.572,0.434,0.692,0.617,0.372,0.444,0.51,0.639
Im460.tif,0.62,0.409,0.718,0.537,0.481,0.416,0.577,0.55
Im461.tif,0.555,0.384,0.629,0.482,0.395,0.43,0.466,0.528
Im464.tif,0.558,0.44,0.704,0.619,0.197,0.357,0.351,0.551
Im466.tif,0.459,0.442,0.535,0.549,0.275,0.416,0.351,0.523
Im470.tif,0.554,0.712,0.654,0.835,0.31,0.666,0.403,0.81
Im472.tif,0.573,0.287,0.658,0.401,0.416,0.228,0.498,0.341
Im476.tif,0.548,0.259,0.642,0.38,0.33,0.23,0.428,0.354
Im477.tif,,,,,,,,
Im478.tif,0.581,0.502,0.669,0.613,0.418,0.456,0.499,0.571
Im482.tif,0.571,0.367,0.679,0.507,0.294,0.379,0.392,0.525
Im484.tif,0.698,0.336,0.779,0.438,0.509,0.397,0.582,0.495
Im496.tif,0.655,0.587,0.759,0.729,0.38,0.585,0.479,0.722
Im498.tif,0.482,0.433,0.564,0.545,0.313,0.366,0.403,0.489
Im528.tif,0.584,0.329,0.684,0.452,0.333,0.278,0.434,0.424
Im533.tif,0.513,0.452,0.614,0.583,0.275,0.394,0.385,0.529
Im539.tif,,,,,,,,
Im545.tif,0.518,0.504,0.591,0.611,0.318,0.446,0.388,0.557
Im548.tif,,,,,,,,
Im549.tif,,,,,,,,
Im553.tif,0.561,0.185,0.652,0.32,0.312,0.153,0.406,0.29
Im556.tif,0.614,0.257,0.739,0.421,0.404,0.228,0.529,0.398
Im564.tif,0.532,0.392,0.635,0.522,0.315,0.34,0.42,0.475
Im568.tif,0.543,0.352,0.619,0.461,0.346,0.277,0.43,0.384
Im569.tif,0.618,0.551,0.727,0.669,0.372,0.488,0.468,0.623
Im570.tif,,,,,,,,
Im572.tif,0.502,0.569,0.591,0.68,0.286,0.529,0.364,0.641
Im573.tif,0.617,0.508,0.712,0.634,0.413,0.362,0.524,0.49
Im583.tif,0.638,0.253,0.732,0.375,0.381,0.24,0.47,0.362
Im586.tif,0.554,0.5,0.636,0.593,0.368,0.463,0.45,0.559
Im587.tif,,,,,,,,
Im593.tif,0.543,0.559,0.625,0.663,0.379,0.568,0.463,0.679
Im603.tif,0.59,0.527,0.668,0.622,0.356,0.518,0.43,0.621
Im605.tif,0.561,0.099,0.659,0.224,0.324,0.09,0.409,0.203
Im606.tif,0.5,0.436,0.578,0.547,0.325,0.39,0.406,0.5
Im607.tif,0.613,0.371,0.698,0.488,0.434,0.342,0.52,0.463
Im611.tif,0.641,0.278,0.736,0.401,0.42,0.204,0.51,0.333
Im620.tif,0.617,0.425,0.694,0.526,0.408,0.378,0.489,0.484
Im622.tif,0.531,0.46,0.61,0.555,0.345,0.429,0.419,0.532
Im627.tif,0.502,0.227,0.567,0.319,0.346,0.261,0.417,0.36
Im635.tif,0.539,0.269,0.646,0.415,0.304,0.245,0.403,0.391
Im637.tif,0.596,0.416,0.673,0.514,0.424,0.395,0.501,0.498
Im643.tif,0.67,0.412,0.791,0.589,0.313,0.351,0.437,0.518
Im647.tif,0.626,0.309,0.713,0.424,0.394,0.257,0.484,0.373
Im650.tif,0.45,0.642,0.534,0.753,0.276,0.649,0.363,0.76
Im658.tif,,,,,,,,
Im661.tif,0.402,0.462,0.481,0.566,0.276,0.445,0.358,0.543
Im668.tif,0.596,0.355,0.68,0.449,0.38,0.314,0.458,0.404
Im669.tif,0.595,0.305,0.729,0.471,0.274,0.226,0.408,0.395
Im671.tif,0.55,0.498,0.649,0.621,0.301,0.437,0.397,0.577
Im673.tif,0.641,0.526,0.73,0.644,0.452,0.506,0.542,0.619
Im674.tif,0.542,0.598,0.63,0.716,0.324,0.543,0.422,0.664
Im675.tif,0.551,0.528,0.633,0.64,0.363,0.486,0.444,0.601
Im679.tif,0.515,0.555,0.611,0.683,0.332,0.512,0.433,0.639
Im680.tif,,,,,,,,
Im682.tif,0.556,0.391,0.644,0.505,0.336,0.353,0.422,0.469
Im686.tif,0.595,0.33,0.706,0.468,0.334,0.343,0.442,0.489
Im693.tif,0.569,0.557,0.637,0.651,0.397,0.514,0.471,0.62
Im695.tif,0.568,0.307,0.682,0.47,0.311,0.254,0.432,0.413
Im696.tif,,,,,,,,
Im697.tif,0.601,0.314,0.69,0.434,0.395,0.304,0.471,0.403
Im702.tif,0.606,0.407,0.751,0.573,0.308,0.342,0.453,0.513
Im710.tif,0.598,0.456,0.709,0.616,0.332,0.446,0.454,0.609
Im711.tif,0.585,0.403,0.714,0.572,0.294,0.352,0.411,0.529
Im712.tif,0.572,0.524,0.65,0.625,0.384,0.51,0.457,0.612
Im714.tif,0.545,0.487,0.614,0.573,0.385,0.475,0.457,0.564
Im718.tif,0.582,0.394,0.713,0.561,0.228,0.341,0.358,0.5
Im719.tif,,,,,,,,
Im721.tif,,,,,,,,
Im724.tif,0.567,0.175,0.659,0.278,0.396,0.147,0.482,0.244
Im726.tif,0.604,0.721,0.685,0.818,0.33,0.654,0.427,0.78
Im730.tif,,,,,,,,
Im731.tif,0.57,0.258,0.652,0.371,0.361,0.234,0.445,0.342
Im734.tif,0.555,0.447,0.64,0.561,0.379,0.403,0.464,0.521
Im737.tif,0.614,0.342,0.729,0.492,0.275,0.244,0.387,0.394
Im767.tif,0.627,0.57,0.718,0.679,0.43,0.54,0.521,0.655
Im769.tif,0.513,0.532,0.601,0.637,0.325,0.48,0.405,0.595
Im771.tif,0.504,0.37,0.587,0.484,0.276,0.368,0.358,0.483
Im772.tif,,,,,,,,
Im773.tif,0.529,0.159,0.611,0.273,0.341,0.192,0.422,0.308
Im775.tif,0.531,0.547,0.601,0.637,0.384,0.556,0.452,0.639
Im776.tif,,,,,,,,
Im778.tif,0.519,0.358,0.601,0.464,0.38,0.369,0.469,0.481
Im780.tif,0.521,0.661,0.594,0.756,0.412,0.631,0.49,0.729
Im791.tif,,,,,,,,
Im802.tif,0.606,0.193,0.73,0.369,0.254,0.147,0.381,0.318
Im806.tif,0.561,0.304,0.641,0.405,0.35,0.309,0.431,0.424
Im807.tif,,,,,,,,
Im808.tif,0.564,0.41,0.675,0.543,0.233,0.344,0.344,0.479
Im809.tif,0.488,0.645,0.559,0.735,0.343,0.625,0.423,0.715
Im810.tif,0.55,0.353,0.622,0.449,0.398,0.327,0.464,0.423
Im811.tif,0.537,0.519,0.612,0.619,0.36,0.491,0.431,0.591
Im815.tif,,,,,,,,
Im817.tif,,,,,,,,
Im818.tif,,,,,,,,
Im841.tif,0.496,0.446,0.569,0.547,0.313,0.445,0.392,0.547
Im843.tif,0.513,0.5,0.599,0.613,0.277,0.47,0.355,0.589
Im844.tif,0.551,0.202,0.637,0.312,0.32,0.178,0.405,0.295
Im853.tif,0.517,0.623,0.614,0.75,0.327,0.602,0.406,0.717
Im860.tif,0.527,0.623,0.613,0.738,0.303,0.582,0.39,0.702
Im861.tif,0.503,0.551,0.591,0.686,0.356,0.5,0.451,0.641
Im869.tif,0.521,0.284,0.6,0.399,0.289,0.267,0.363,0.382
Im871.tif,0.562,0.275,0.659,0.393,0.38,0.217,0.473,0.342
Im881.tif,0.637,0.597,0.741,0.718,0.365,0.537,0.463,0.658
Im888.tif,0.521,0.435,0.607,0.541,0.373,0.398,0.459,0.51
Im889.tif,,,,,,,,
Im891.tif,,,,,,,,
Im892.tif,0.577,0.639,0.666,0.754,0.343,0.593,0.429,0.706
Im893.tif,,,,,,,,
Im894.tif,,,,,,,,
Im896.tif,0.533,0.251,0.632,0.379,0.309,0.214,0.409,0.346
Im899.tif,0.552,0.381,0.654,0.518,0.301,0.343,0.398,0.479
Im901.tif,,,,,,,,
Im902.tif,0.453,0.439,0.527,0.529,0.274,0.435,0.357,0.528
Im914.tif,0.611,0.406,0.701,0.524,0.364,0.314,0.466,0.441
Im917.tif,0.61,0.511,0.677,0.593,0.474,0.517,0.539,0.608
Im922.tif,0.566,0.342,0.651,0.443,0.374,0.336,0.454,0.439
Im930.tif,0.531,0.309,0.604,0.402,0.39,0.32,0.463,0.419
Im932.tif,0.626,0.571,0.715,0.681,0.43,0.541,0.521,0.651
Im936.tif,0.591,0.379,0.679,0.519,0.414,0.349,0.509,0.481
Im953.tif,0.576,0.702,0.667,0.812,0.369,0.673,0.369,0.673
Im966.tif,,,,,,,,
Im969.tif,0.594,0.337,0.682,0.451,0.341,0.287,0.434,0.412
Im970.tif,0.568,0.223,0.643,0.323,0.425,0.196,0.5,0.302
Im975.tif,0.64,0.395,0.761,0.562,0.309,0.269,0.435,0.438
Im976.tif,0.609,0.464,0.683,0.548,0.432,0.448,0.506,0.547
Im1015.tif,0.53,0.296,0.667,0.467,0.182,0.221,0.307,0.368
Im1016.tif,0.611,0.503,0.713,0.64,0.38,0.434,0.49,0.568
Im1017.tif,0.589,0.421,0.696,0.558,0.342,0.376,0.444,0.516
Im1021.tif,0.606,0.354,0.711,0.494,0.358,0.34,0.463,0.479
Im1024.tif,0.557,0.472,0.626,0.563,0.371,0.447,0.441,0.538
Im1025.tif,0.535,0.535,0.608,0.626,0.38,0.514,0.454,0.607
Im1027.tif,0.545,0.508,0.616,0.598,0.377,0.496,0.444,0.586
Im1028.tif,0.476,0.562,0.561,0.68,0.357,0.541,0.446,0.666
Im1030.tif,0.593,0.369,0.717,0.531,0.267,0.336,0.409,0.514
Im1062.tif,0.56,0.518,0.623,0.615,0.408,0.492,0.488,0.597
Im1065.tif,0.573,0.423,0.657,0.528,0.349,0.398,0.427,0.5
Im1071.tif,0.55,0.285,0.655,0.404,0.292,0.306,0.389,0.43
Im1073.tif,0.554,0.358,0.638,0.463,0.354,0.327,0.434,0.439
Im1074.tif,0.585,0.35,0.661,0.455,0.404,0.335,0.478,0.445
Im1075.tif,0.609,0.537,0.685,0.639,0.425,0.487,0.497,0.59
Im1076.tif,0.566,0.563,0.643,0.667,0.381,0.515,0.453,0.619
Im1082.tif,0.538,0.426,0.616,0.529,0.344,0.386,0.42,0.493
Im1083.tif,0.589,0.442,0.663,0.539,0.379,0.409,0.453,0.508
Im1084.tif,0.603,0.514,0.68,0.616,0.406,0.472,0.48,0.579
Im1097.tif,0.536,0.448,0.615,0.539,0.375,0.391,0.455,0.479
Im1098.tif,0.52,0.588,0.591,0.676,0.35,0.549,0.421,0.629
Im1099.tif,0.501,0.59,0.586,0.699,0.329,0.556,0.41,0.669
Im1101.tif,0.542,0.56,0.625,0.671,0.328,0.546,0.406,0.667
Im1102.tif,0.687,0.573,0.761,0.676,0.485,0.516,0.563,0.626
Im1103.tif,0.482,0.279,0.566,0.391,0.252,0.264,0.323,0.359
Im1104.tif,0.534,0.474,0.623,0.584,0.413,0.479,0.495,0.596
Im1114.tif,0.53,0.6,0.609,0.709,0.419,0.558,0.498,0.666
Im1115.tif,0.638,0.492,0.715,0.596,0.48,0.468,0.549,0.569
Im1116.tif,0.609,0.549,0.7,0.666,0.378,0.52,0.477,0.647
Im1122.tif,0.512,0.579,0.588,0.67,0.384,0.557,0.45,0.659
Im1125.tif,0.636,0.209,0.732,0.339,0.381,0.136,0.482,0.274
Im1126.tif,0.583,0.247,0.708,0.41,0.267,0.184,0.386,0.348
Im1127.tif,0.674,0.211,0.784,0.362,0.381,0.141,0.493,0.291
Im1128.tif,0.607,0.701,0.718,0.849,0.309,0.639,0.423,0.784
Im1131.tif,,,,,,,,
Im1141.tif,0.573,0.417,0.655,0.52,0.367,0.389,0.448,0.491
Im1144.tif,,,,,,,,
Im1147.tif,,,,,,,,
Im1148.tif,,,,,,,,
Im1150.tif,0.612,0.449,0.705,0.57,0.44,0.447,0.534,0.574
Im1151.tif,,,,,,,,
Im1152.tif,,,,,,,,
Im1154.tif,,,,,,,,
Im1156.tif,0.567,0.533,0.642,0.632,0.389,0.495,0.462,0.594
Im1157.tif,,,,,,,,
Im1158.tif,0.525,0.426,0.611,0.541,0.3,0.375,0.383,0.498
Im1160.tif,0.561,0.481,0.659,0.597,0.375,0.452,0.455,0.564
Im1161.tif,0.596,0.218,0.701,0.349,0.38,0.238,0.481,0.373
Im1168.tif,0.578,0.612,0.675,0.734,0.353,0.579,0.442,0.711
Im1169.tif,0.498,0.252,0.581,0.367,0.31,0.289,0.397,0.398
Im1170.tif,0.557,0.676,0.642,0.791,0.361,0.712,0.446,0.819
Im1172.tif,0.607,0.382,0.693,0.503,0.436,0.357,0.518,0.471
Im1173.tif,0.543,0.408,0.629,0.528,0.348,0.376,0.436,0.494
Im1175.tif,0.664,0.552,0.743,0.66,0.461,0.516,0.548,0.634
Im1178.tif,0.674,0.406,0.767,0.528,0.492,0.373,0.588,0.496
Im1179.tif,0.612,0.566,0.696,0.679,0.391,0.521,0.481,0.634
Im1180.tif,0.615,0.662,0.717,0.798,0.409,0.611,0.51,0.755
Im1186.tif,0.708,0.488,0.789,0.596,0.53,0.442,0.607,0.547
Im1191.tif,0.568,0.344,0.681,0.481,0.28,0.299,0.401,0.451
Im1194.tif,0.568,0.317,0.649,0.433,0.328,0.306,0.415,0.433
Im1196.tif,0.598,0.297,0.678,0.406,0.405,0.265,0.484,0.379
Im1205.tif,0.574,0.52,0.642,0.605,0.428,0.509,0.493,0.599
Im1210.tif,0.605,0.41,0.732,0.582,0.363,0.373,0.488,0.547
Im1216.tif,0.643,0.727,0.727,0.826,0.443,0.742,0.519,0.839
Im1221.tif,0.525,0.503,0.61,0.613,0.338,0.488,0.426,0.599
Im1232.tif,0.554,0.706,0.645,0.812,0.343,0.696,0.444,0.826
Im1237.tif,0.531,0.372,0.619,0.479,0.327,0.361,0.413,0.472
Im1241.tif,0.564,0.265,0.646,0.371,0.375,0.236,0.452,0.343
Im1246.tif,0.543,0.307,0.637,0.453,0.334,0.307,0.44,0.466
Im1253.tif,0.555,0.478,0.657,0.616,0.309,0.425,0.416,0.575
Im1262.tif,0.593,0.285,0.685,0.404,0.341,0.269,0.431,0.39
Im1269.tif,0.57,0.3,0.678,0.446,0.345,0.239,0.449,0.376
Im1270.tif,0.533,0.31,0.635,0.436,0.388,0.287,0.485,0.422
Im1276.tif,0.534,0.452,0.645,0.587,0.279,0.422,0.385,0.565
Im1278.tif,0.572,0.182,0.659,0.292,0.336,0.193,0.435,0.306
Im1280.tif,0.543,0.423,0.626,0.525,0.407,0.396,0.487,0.504
Im1283.tif,0.635,0.358,0.749,0.499,0.347,0.349,0.456,0.488
Im1286.tif,0.549,0.51,0.671,0.666,0.291,0.491,0.41,0.646
Im1288.tif,0.574,0.439,0.676,0.585,0.348,0.435,0.453,0.584
Im1292.tif,0.551,0.392,0.64,0.517,0.372,0.376,0.457,0.501
Im1297.tif,0.632,0.589,0.712,0.696,0.422,0.555,0.507,0.662
Im1298.tif,0.577,0.512,0.673,0.638,0.302,0.473,0.399,0.6
Im1299.tif,0.575,0.526,0.663,0.646,0.364,0.495,0.446,0.621
Im1303.tif,0.537,0.507,0.632,0.628,0.377,0.503,0.47,0.628
Im1304.tif,0.532,0.369,0.61,0.472,0.34,0.352,0.416,0.457
Im1317.tif,0.559,0.42,0.653,0.549,0.326,0.384,0.423,0.524
Im1320.tif,0.529,0.522,0.609,0.624,0.346,0.515,0.428,0.622
Im1321.tif,,,,,,,,
Im1332.tif,0.558,0.616,0.646,0.723,0.364,0.611,0.443,0.72
Im1338.tif,0.502,0.625,0.598,0.757,0.269,0.552,0.372,0.686
Im1344.tif,0.574,0.388,0.64,0.478,0.416,0.365,0.49,0.46
Im1345.tif,0.548,0.354,0.618,0.446,0.408,0.332,0.485,0.426
Im1347.tif,0.574,0.371,0.69,0.532,0.346,0.342,0.454,0.499
Im1354.tif,0.522,0.538,0.602,0.656,0.407,0.519,0.496,0.621
Im1355.tif,0.522,0.58,0.604,0.695,0.431,0.565,0.5,0.67
Im1361.tif,0.587,0.357,0.667,0.465,0.421,0.4,0.496,0.508
Im1367.tif,0.532,0.339,0.62,0.447,0.359,0.319,0.447,0.429
Im1369.tif,0.563,0.518,0.637,0.616,0.359,0.497,0.445,0.605
Im1373.tif,0.682,0.403,0.809,0.552,0.479,0.367,0.595,0.518
Im1381.tif,0.615,0.288,0.697,0.401,0.385,0.279,0.466,0.394
Im1383.tif,0.584,0.557,0.708,0.712,0.298,0.512,0.418,0.675
Im1391.tif,0.499,0.19,0.582,0.294,0.292,0.127,0.377,0.235
Im1393.tif,0.557,0.511,0.635,0.62,0.418,0.486,0.494,0.602
Im1396.tif,0.509,0.24,0.634,0.399,0.289,0.217,0.4,0.383
Im1403.tif,0.533,0.82,0.64,0.974,0.365,0.737,0.482,0.904
Im1406.tif,0.566,0.482,0.633,0.571,0.383,0.481,0.454,0.575
Im1407.tif,0.598,0.506,0.691,0.617,0.365,0.502,0.45,0.614
Im1408.tif,0.602,0.47,0.692,0.581,0.366,0.453,0.449,0.566
Im1412.tif,0.558,0.349,0.627,0.437,0.386,0.302,0.454,0.396
Im1416.tif,0.576,0.376,0.655,0.488,0.369,0.331,0.45,0.451
Im1433.tif,0.532,0.57,0.621,0.681,0.31,0.554,0.39,0.665
Im1454.tif,0.532,0.31,0.629,0.443,0.337,0.25,0.43,0.39
Im1455.tif,,,,,,,,
Im1461.tif,0.546,0.328,0.636,0.441,0.395,0.304,0.485,0.413
Im1470.tif,0.528,0.589,0.656,0.772,0.312,0.606,0.44,0.788
Im1471.tif,0.514,0.381,0.646,0.552,0.287,0.393,0.407,0.572
Im1473.tif,0.535,0.332,0.627,0.44,0.347,0.303,0.437,0.42
Im1476.tif,0.531,0.468,0.603,0.56,0.368,0.449,0.434,0.548
Im1478.tif,0.592,0.554,0.703,0.682,0.376,0.522,0.473,0.654
Im1479.tif,0.554,0.582,0.66,0.709,0.342,0.532,0.452,0.66
Im1480.tif,0.56,0.598,0.67,0.725,0.338,0.554,0.449,0.686
Im1481.tif,0.521,0.576,0.621,0.701,0.354,0.528,0.453,0.663
Im1483.tif,0.563,0.303,0.673,0.472,0.372,0.244,0.466,0.391
Im1485.tif,0.608,0.443,0.718,0.624,0.355,0.392,0.473,0.57
Im1487.tif,0.558,0.452,0.642,0.573,0.372,0.362,0.46,0.482
Im1488.tif,0.497,0.142,0.593,0.283,0.342,0.103,0.45,0.247
Im1489.tif,0.548,0.293,0.619,0.394,0.393,0.268,0.472,0.374
Im1491.tif,0.509,0.682,0.578,0.777,0.332,0.66,0.405,0.762
Im1493.tif,0.544,0.628,0.615,0.723,0.4,0.599,0.477,0.69
Im1496.tif,0.54,0.216,0.636,0.336,0.351,0.152,0.442,0.286
Im1509.tif,0.532,0.38,0.593,0.453,0.351,0.336,0.43,0.437
Im1511.tif,,,,,,,,
Im1512.tif,,,,,,,,
Im1513.tif,0.596,0.266,0.69,0.384,0.397,0.231,0.481,0.345
Im1515.tif,0.571,0.28,0.686,0.428,0.291,0.234,0.402,0.395
Im1516.tif,0.57,0.296,0.695,0.444,0.296,0.312,0.421,0.465
Im1517.tif,,,,,,,,
Im1519.tif,0.567,0.573,0.634,0.66,0.393,0.569,0.47,0.665
Im1521.tif,0.549,0.483,0.629,0.594,0.436,0.467,0.522,0.582
Im1522.tif,,,,,,,,
Im1523.tif,0.506,0.491,0.595,0.611,0.309,0.468,0.401,0.581
Im1524.tif,0.578,0.254,0.653,0.351,0.395,0.205,0.474,0.312
Im1527.tif,0.585,0.538,0.659,0.632,0.42,0.498,0.497,0.585
Im1529.tif,0.581,0.559,0.646,0.652,0.404,0.472,0.481,0.562
Im1531.tif,0.546,0.621,0.644,0.754,0.348,0.594,0.451,0.731
Im1532.tif,0.506,0.606,0.583,0.698,0.361,0.572,0.436,0.662
Im1533.tif,,,,,,,,
Im1534.tif,0.562,0.672,0.629,0.76,0.38,0.641,0.454,0.737
Im1535.tif,,,,,,,,
Im1541.tif,,,,,,,,
Im1547.tif,,,,,,,,
Im1550.tif,0.527,0.408,0.604,0.519,0.331,0.372,0.408,0.482
Im1553.tif,,,,,,,,
Im1555.tif,0.551,0.601,0.633,0.713,0.359,0.579,0.435,0.676
Im1556.tif,0.591,0.641,0.666,0.74,0.449,0.595,0.525,0.701
Im1557.tif,0.564,0.544,0.641,0.635,0.406,0.528,0.478,0.623
Im1559.tif,0.604,0.31,0.688,0.419,0.399,0.271,0.479,0.385
Im1561.tif,0.536,0.582,0.612,0.683,0.347,0.553,0.424,0.656
Im1564.tif,0.544,0.61,0.631,0.717,0.356,0.584,0.442,0.687
Im1565.tif,0.559,0.35,0.647,0.46,0.368,0.314,0.452,0.421
Im1566.tif,,,,,,,,
Im1573.tif,0.572,0.556,0.65,0.673,0.382,0.513,0.47,0.632
Im1575.tif,0.583,0.212,0.665,0.34,0.369,0.132,0.456,0.261
Im1580.tif,0.566,0.638,0.64,0.739,0.416,0.656,0.493,0.767
Im1582.tif,0.557,0.518,0.647,0.641,0.353,0.471,0.443,0.602
Im1584.tif,0.567,0.182,0.656,0.295,0.369,0.156,0.461,0.273
Im1585.tif,0.553,0.133,0.662,0.28,0.359,0.088,0.468,0.242
Im1586.tif,0.587,0.675,0.671,0.78,0.417,0.642,0.498,0.756
Im1587.tif,0.572,0.175,0.664,0.295,0.34,0.149,0.433,0.263
Im1588.tif,0.545,0.485,0.625,0.596,0.356,0.443,0.436,0.562
Im1589.tif,0.505,0.328,0.62,0.475,0.251,0.239,0.35,0.388
Im1590.tif,0.608,0.434,0.713,0.582,0.35,0.352,0.465,0.497
Im1592.tif,0.506,0.554,0.589,0.663,0.352,0.516,0.437,0.626
Im1596.tif,0.529,0.445,0.598,0.538,0.346,0.414,0.415,0.508
Im1597.tif,0.573,0.514,0.662,0.645,0.323,0.507,0.417,0.637
Im1598.tif,0.599,0.655,0.675,0.756,0.365,0.598,0.446,0.703
Im1599.tif,0.569,0.246,0.652,0.344,0.336,0.216,0.441,0.316
Im1601.tif,0.566,0.667,0.66,0.785,0.371,0.631,0.458,0.756
Im1604.tif,0.522,0.447,0.589,0.536,0.326,0.435,0.398,0.526
Im1612.tif,0.512,0.626,0.581,0.708,0.37,0.608,0.43,0.694
Im1613.tif,0.494,0.599,0.567,0.692,0.346,0.586,0.428,0.693
Im1617.tif,0.542,0.628,0.617,0.732,0.394,0.612,0.466,0.718
Im1618.tif,0.507,0.666,0.585,0.77,0.331,0.668,0.401,0.766
Im1624.tif,0.568,0.629,0.654,0.738,0.377,0.567,0.465,0.678
Im1626.tif,0.527,0.449,0.625,0.576,0.308,0.426,0.414,0.55
Im1627.tif,0.553,0.324,0.651,0.459,0.351,0.333,0.437,0.438
Im1628.tif,0.572,0.626,0.66,0.74,0.374,0.56,0.463,0.681
Im1654.tif,0.454,0.385,0.597,0.569,0.245,0.453,0.379,0.633
